date,entropy
2022-12-03,3.357783694476587
2022-12-04,3.877702941585213
2022-12-05,3.730821504248901
2022-12-06,3.2775332765125054
2022-12-07,3.7471267989432464
2022-12-08,3.778459301200548
2022-12-09,3.5491760935478687
2022-12-10,3.4894564410957227
2022-12-11,3.972139534584668
2022-12-12,3.849909258480875
2022-12-13,3.1824348929408828
2022-12-14,2.9371366770631213
2022-12-15,3.600844088327537
2022-12-16,3.790976070572813
2022-12-18,3.526419653017633
2022-12-19,3.6718456887887267
2022-12-20,3.4832108973445
2022-12-21,3.665327681382335
2022-12-22,3.1882123627261754
2022-12-23,3.8323606461053425
2022-12-24,2.9052501631467984
2022-12-25,3.4400905571009783
2022-12-26,3.6309015069662416
2022-12-27,3.7936042100951757
2022-12-28,3.920084671819867
2022-12-29,3.719385872438571
2023-01-01,3.8652595661095885
2023-01-02,4.06550801496992
2023-01-03,3.7301084433875955
2023-01-04,3.7098904431687263
2023-01-05,3.788735397672364
2023-01-06,3.6036950905408225
2023-01-07,3.851070343769583
2023-01-08,2.8809470604218617
2023-01-09,3.402741581162607
2023-01-10,3.7533984183251783
2023-01-11,3.6805220915531356
2023-01-12,3.9588840542523775
2023-01-13,4.004130294776365
2023-01-14,3.8226715222693395
2023-01-15,3.873609313420558
2023-01-16,3.6445463522364556
2023-01-17,3.572763778524275
2023-01-18,3.122696966163382
2023-01-19,3.6189403497119836
2023-01-20,3.5274541850213663
2023-01-21,3.506219160922696
2023-01-22,3.642726540760655
2023-01-23,3.5569429848824083
2023-01-24,3.586426627039879
2023-01-25,3.2285481160111784
2023-01-26,3.3770037159299995
2023-01-27,3.8401234126687265
2023-01-28,3.7596817478168245
2023-01-29,3.9954792756771456
2023-01-30,3.7360504479982772
2023-01-31,3.9003974957276837
2023-02-01,3.79315824763086
2023-02-02,3.7510990801692152
2023-02-03,3.679329938958656
2023-02-04,3.870283707462639
2023-02-05,3.878952922710563
2023-02-06,3.440417485756684
2023-02-07,3.384083105081178
2023-02-08,3.5828360972699045
2023-02-09,3.567858825599547
2023-02-10,3.672311284694397
2023-02-11,3.4589221732115423
2023-02-12,3.5631681447337384
2023-02-13,3.722546579896816
2023-02-14,3.6814156387014654
2023-02-16,3.944122514601248
2023-02-17,3.9058416005824013
2023-02-18,3.717044287960412
2023-02-19,3.9424714027935845
2023-02-20,3.7214506859933003
2023-02-21,3.6715059188120365
2023-02-22,3.6614035633556767
2023-02-23,3.2097932135477425
2023-02-24,2.6524987425491173
2023-02-25,3.431505945693186
2023-02-26,3.43653441052093
2023-02-27,3.779873531625344
2023-02-28,3.7206960354106733
2023-03-01,3.581408303505244
2023-03-02,3.444155771155198
2023-03-03,3.9569360311660686
2023-03-04,3.585492437270496
2023-03-05,4.066785329467597
2023-03-06,3.975001166939034
2023-03-07,3.86925669008276
2023-03-08,3.307986001469691
2023-03-09,3.6113951167445566
2023-03-10,3.7909508218645356
2023-03-11,3.697180834477641
2023-03-12,3.9360238943465977
2023-03-13,3.627471507591411
2023-03-14,3.6910741715058086
2023-03-15,3.848809135855502
2023-03-16,3.9233633596075266
2023-03-17,3.561348572591826
2023-03-18,3.7673140984151274
2023-03-19,4.09823457109155
2023-03-20,3.6982099979493785
2023-03-21,3.6512262470185344
2023-03-22,3.862493865426046
2023-03-23,3.8035046089268527
2023-03-24,3.6406073760999047
2023-03-25,3.2105359940286284
2023-03-26,3.83856733917144
2023-03-27,3.733648888502827
2023-03-28,3.5154164110526405
2023-03-29,3.466225681410603
2023-03-30,3.849240538265045
2023-03-31,3.332295782355679
2023-04-02,3.808685179878233
2023-04-03,3.4360113445384637
2023-04-04,3.1313617542076626
2023-04-05,3.382523593778198
2023-04-06,3.8268817168971765
2023-04-07,3.634062900612879
2023-04-08,3.250682896177463
2023-04-09,3.7848014850393863
2023-04-10,3.817562137774097
2023-04-11,3.873468997037728
2023-04-12,3.8019009979078007
2023-04-13,3.698257911698488
2023-04-14,3.87220529144015
2023-04-15,3.804761539481362
2023-04-16,3.8542634466630963
2023-04-17,3.9236181515056177
2023-04-18,3.5623476140791923
2023-04-19,3.6826526554058123
2023-04-20,3.7998674361931464
2023-04-21,3.9204786228802497
2023-04-22,3.448097474173654
2023-04-23,3.863493573793597
2023-04-24,3.6721611028292904
2023-04-25,3.7068784523127882
2023-04-26,3.838360400946942
2023-04-27,3.624609545562936
2023-04-28,3.6529441655107306
2023-05-03,3.747567530995111
2023-05-04,3.5235382357908986
2023-05-05,3.4455127973409305
2023-05-06,2.0332360089447983
2023-05-07,3.434393744820027
2023-05-08,3.7797285196052157
2023-05-09,3.7742485277819524
2023-05-10,3.93691597823183
2023-05-11,3.586833304778548
2023-05-12,3.8661684192976953
2023-05-15,3.918959033032581
2023-05-16,3.729981667608241
2023-05-17,3.8355151959678757
2023-05-18,3.4175063774941496
2023-05-19,3.5460750201700106
2023-05-20,3.5333022218053403
2023-05-21,3.864920333055866
2023-05-22,3.367980122319816
2023-05-23,3.0544601847917696
2023-05-24,3.785870286988624
2023-05-26,3.774763555802992
2023-05-27,3.6565446011688683
2023-05-28,3.531466269221865
2023-05-29,3.3087709316260474
2023-05-30,3.564954014742078
2023-05-31,3.9313300854189963
2023-06-01,3.6346559951350463
2023-06-02,3.8557223679069126
2023-06-03,3.596992174854588
2023-06-04,3.858079031258033
2023-06-05,3.7082372709530333
2023-06-06,3.6561139584664373
2023-06-07,3.683307112638053
2023-06-08,3.6990038626320554
2023-06-09,3.849535905228908
2023-06-11,3.9944482342401324
2023-06-12,3.631155827065841
2023-06-13,3.504551798362398
